X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
67.709953,33.93911,1,,Afghanistan,2022/04/30 11:21:00+00,33.93911,67.709953,178879,0,7683,0,,,Afghanistan
20.1683,41.1533000000001,2,,Albania,2022/04/30 11:21:00+00,41.1533,20.1683,275055,0,3496,0,,,Albania
1.65960000000007,28.0339000000001,3,,Algeria,2022/04/30 11:21:00+00,28.0339,1.6596,265779,0,6875,0,,,Algeria
1.52180000000004,42.5063000000001,4,,Andorra,2022/04/30 11:21:00+00,42.5063,1.5218,41349,0,153,0,,,Andorra
17.8739,-11.2026999999999,5,,Angola,2022/04/30 11:21:00+00,-11.2027,17.8739,99287,0,1900,0,,,Angola
23.347,-71.9499,6,,Antarctica,2022/04/30 11:21:00+00,-71.9499,23.347,11,0,0,0,,,Antarctica
-61.7963999999999,17.0608,7,,Antigua and Barbuda,2022/04/30 11:21:00+00,17.0608,-61.7964,7626,0,136,0,,,Antigua and Barbuda
-63.6167,-38.4161,8,,Argentina,2022/04/30 11:21:00+00,-38.4161,-63.6167,9072230,0,128542,0,,,Argentina
45.0382000000001,40.0691,9,,Armenia,2022/04/30 11:21:00+00,40.0691,45.0382,422867,0,8622,0,,,Armenia
149.0124,-35.4734999999999,10,Australian Capital Territory,Australia,2022/04/30 11:21:00+00,-35.4735,149.0124,104125,0,51,0,,,"Australian Capital Territory, Australia"
151.2093,-33.8688,11,New South Wales,Australia,2022/04/30 11:21:00+00,-33.8688,151.2093,2278053,0,2769,0,,,"New South Wales, Australia"
130.8456,-12.4634,12,Northern Territory,Australia,2022/04/30 11:21:00+00,-12.4634,130.8456,63289,0,43,0,,,"Northern Territory, Australia"
153.0251,-27.4698,13,Queensland,Australia,2022/04/30 11:21:00+00,-27.4698,153.0251,992324,0,868,0,,,"Queensland, Australia"
138.6007,-34.9284999999999,14,South Australia,Australia,2022/04/30 11:21:00+00,-34.9285,138.6007,406475,0,346,0,,,"South Australia, Australia"
147.3272,-42.8821,15,Tasmania,Australia,2022/04/30 11:21:00+00,-42.8821,147.3272,135641,0,50,0,,,"Tasmania, Australia"
144.9631,-37.8136,16,Victoria,Australia,2022/04/30 11:21:00+00,-37.8136,144.9631,1561415,0,2967,0,,,"Victoria, Australia"
115.8605,-31.9505,17,Western Australia,Australia,2022/04/30 11:21:00+00,-31.9505,115.8605,387111,0,148,0,,,"Western Australia, Australia"
14.5501,47.5162,18,,Austria,2022/04/30 11:21:00+00,47.5162,14.5501,4140543,0,18156,0,,,Austria
47.5769000000001,40.1431000000001,19,,Azerbaijan,2022/04/30 11:21:00+00,40.1431,47.5769,792558,0,9709,0,,,Azerbaijan
-78.0358889999999,25.0258850000001,20,,Bahamas,2022/04/30 11:21:00+00,25.025885,-78.035889,33541,0,789,0,,,Bahamas
50.5500000000001,26.0275,21,,Bahrain,2022/04/30 11:21:00+00,26.0275,50.55,568367,0,1475,0,,,Bahrain
90.3563,23.6850000000001,22,,Bangladesh,2022/04/30 11:21:00+00,23.685,90.3563,1952674,0,29127,0,,,Bangladesh
-59.5432,13.1939,23,,Barbados,2022/04/30 11:21:00+00,13.1939,-59.5432,69562,0,392,0,,,Barbados
27.9534,53.7098,24,,Belarus,2022/04/30 11:21:00+00,53.7098,27.9534,979909,0,6943,0,,,Belarus
4.40240000000006,51.2195,25,Antwerp,Belgium,2022/04/30 11:21:00+00,51.2195,4.4024,648597,0,0,0,,,"Antwerp, Belgium"
